TITLE,ID,URL,Topic 1,Topic 1 FIT,Topic 2,Topic 2 FIT,Assign Final T£,Topic 3 FIT
"A new international standard, and commercial growth for a leading UK manufacturer of anti-bacterial wipes",9a2b1fdb-ca64-4a59-8e16-949f1a4e8704,https://results2021.ref.ac.uk/impact/9a2b1fdb-ca64-4a59-8e16-949f1a4e8704,12,4,111,2,29,2
Development of a Bactigon® -coated bacterial-resistant urinary catheter results in commercialisation and company growth.,f3f9641d-0f1c-4301-a638-9f446484ef81,https://results2021.ref.ac.uk/impact/f3f9641d-0f1c-4301-a638-9f446484ef81,12,4,6,3,64,2
"Antimicrobial stewardship: targeting antibiotics, delayed prescribing, and communication skills training for acute upper and lower respiratory tract infections",1d52c812-46b0-4a7d-8c7c-7b9b48bd21bc,https://results2021.ref.ac.uk/impact/1d52c812-46b0-4a7d-8c7c-7b9b48bd21bc,12,4,15,3,11,3
Innovative lighting system in healthcare settings reduces infection and benefits patients,f5c3763a-8e9c-4292-ad38-b6c772ec624c,https://results2021.ref.ac.uk/impact/f5c3763a-8e9c-4292-ad38-b6c772ec624c,12,4,6,3,,
"Generating significant commercial impact, improving patient outcomes and reducing healthcare costs through use of antimicrobial catheters worldwide",a00581dc-7870-41a0-8ccf-0dcff42bfd48,https://results2021.ref.ac.uk/impact/a00581dc-7870-41a0-8ccf-0dcff42bfd48,12,4,6,3,111,2
Driving best practice in preventing healthcare associated infection by informing policy,06b81fa2-c75a-4ec9-b681-4c20fd8f900e,https://results2021.ref.ac.uk/impact/06b81fa2-c75a-4ec9-b681-4c20fd8f900e,12,4,29,3,28,2
Interactive Learning Resources and Behavioural Training to Improve Young Children’s Knowledge of Microorganisms and Handwashing Skills Globally,8290e2d2-4b67-4861-83e0-a770e63492d5,https://results2021.ref.ac.uk/impact/8290e2d2-4b67-4861-83e0-a770e63492d5,12,4,98,3,102,2
A new class of anti-infective drugs from DNA Minor Groove Binders,981f2299-3638-409a-8a9f-e80395b6da90,https://results2021.ref.ac.uk/impact/981f2299-3638-409a-8a9f-e80395b6da90,12,4,6,3,,
Demonstrating the antimicrobial properties of copper and driving its use in healthcare facilities and public spaces to reduce infection.,3b9e516e-4a96-48e9-b2d6-1abba8904a94,https://results2021.ref.ac.uk/impact/3b9e516e-4a96-48e9-b2d6-1abba8904a94,12,4,64,2,29,2
Defining global antifungal azole resistance in Aspergillus – enhancing diagnostics and driving drug discovery,4b410370-4b9c-4433-ace1-dfbcf585da77,https://results2021.ref.ac.uk/impact/4b410370-4b9c-4433-ace1-dfbcf585da77,12,4,16,3,6,2
Minimising bacterial contamination risks for Unilever through application of microbial genomics,24000d1f-5257-4772-90e1-3e0aef87e054,https://results2021.ref.ac.uk/impact/24000d1f-5257-4772-90e1-3e0aef87e054,12,3,111,2,,
Pathogen whole-genome sequencing transforms healthcare-associated infection and outbreak management,f59fb334-cc83-4a37-b631-c29eff19e1d5,https://results2021.ref.ac.uk/impact/f59fb334-cc83-4a37-b631-c29eff19e1d5,12,4,29,3,,
Development of faecal microbiota transplant (FMT) to improve outcomes of patients with recurrent Clostridioides difficile infection,fe6bb19a-d25e-47e3-aa15-b5ea29ea137f,https://results2021.ref.ac.uk/impact/fe6bb19a-d25e-47e3-aa15-b5ea29ea137f,12,4,16,3,,
Transforming patient outcome of pulmonary aspergillosis with better and faster diagnosis and therapy,8782b815-041c-4ea6-b98b-e98beef44f3e,https://results2021.ref.ac.uk/impact/8782b815-041c-4ea6-b98b-e98beef44f3e,12,4,15,4,16,3
Successfully tackling serious fungal diseases to transform global population health,4ff05820-7760-4f7f-a74e-b499e45d3886,https://results2021.ref.ac.uk/impact/4ff05820-7760-4f7f-a74e-b499e45d3886,12,4,37,3,,
Reducing the burden of hospital associated Clostridioides difficile infections across England,08352a07-d4d8-4d6c-925f-52c2f40571c0,https://results2021.ref.ac.uk/impact/08352a07-d4d8-4d6c-925f-52c2f40571c0,12,4,29,3,,
"EnteroBase, a platform for analysis of bacterial genomes to trace foodborne bacterial disease outbreaks",40914aa3-4ce1-46c0-bfd8-50b84884b2c4,https://results2021.ref.ac.uk/impact/40914aa3-4ce1-46c0-bfd8-50b84884b2c4,12,3,76,3,30,2
Transforming the diagnosis and treatment of ATTR amyloidosis: from a rare untreatable disease to a common remediable disorder,a40c15ce-0c8d-47a1-ad02-10c3ace75c6a,https://results2021.ref.ac.uk/impact/a40c15ce-0c8d-47a1-ad02-10c3ace75c6a,16,4,5,3,24,2
Saving lives by improving structured responses to sepsis patient deterioration,451f9a1a-fd4e-4d6b-af53-7be8cf12dcde,https://results2021.ref.ac.uk/impact/451f9a1a-fd4e-4d6b-af53-7be8cf12dcde,16,3,27,3,,
"Transforming Sepsis diagnosis, immunological characterisation and clinical management",1ad05632-a4b7-4ec3-89e4-b338400c76e9,https://results2021.ref.ac.uk/impact/1ad05632-a4b7-4ec3-89e4-b338400c76e9,16,4,,,,
Improving management of neutropenic sepsis in paediatric cancer patients,f7e2b461-5990-475c-9ceb-85fe2b1051d9,https://results2021.ref.ac.uk/impact/f7e2b461-5990-475c-9ceb-85fe2b1051d9,16,4,3,2,,
Mathematical modelling of an aneurysm sealing system triggers patient safety policy that withdraws surgical practice from the NHS,7169a44e-65e9-4ebb-8553-48117c758ae4,https://results2021.ref.ac.uk/impact/7169a44e-65e9-4ebb-8553-48117c758ae4,16,3,29,2,,
"Improving Laryngectomy Clinical Practice, Patient Care, and Quality of Life Across the UK",67ca66b4-2b60-4de7-8496-cf48ef8caa99,https://results2021.ref.ac.uk/impact/67ca66b4-2b60-4de7-8496-cf48ef8caa99,16,3,29,3,,
Developing more effective and meaningful auditory alarms for a global medical device safety standard,c1dda571-5f08-4431-a64f-d9089e0911d1,https://results2021.ref.ac.uk/impact/c1dda571-5f08-4431-a64f-d9089e0911d1,16,3,45,3,,
Improving Care for Patients with Chronic and Distressing Tinnitus through Mindfulness Based Interventions,9a95766d-8a51-4ce1-9976-85dac4001ca2,https://results2021.ref.ac.uk/impact/9a95766d-8a51-4ce1-9976-85dac4001ca2,16,4,32,3,,
"New sustainable technologies, support tools and standards have improved the lives of people with incontinence",33995f65-9ff6-4479-b96d-580965fe830c,https://results2021.ref.ac.uk/impact/33995f65-9ff6-4479-b96d-580965fe830c,16,4,37,2,,
"Improving the management of pelvic organ prolapse through effective treatment and monitoring: international impact on policy, healthcare professionals and outcomes for women",697ecbbf-e197-4073-b1bc-8f8a959a0e67,https://results2021.ref.ac.uk/impact/697ecbbf-e197-4073-b1bc-8f8a959a0e67,16,4,29,2,,
Improving the management of pelvic girdle dysfunction with an innovative orthosis,ff91ae53-d852-4e1a-8777-00959495a304,https://results2021.ref.ac.uk/impact/ff91ae53-d852-4e1a-8777-00959495a304,16,4,29,2,111,2
Improving Treatment Compliance for Female Pelvic Dysfunction through Psychological Support,fc883238-5a99-41c2-8add-44fba5562490,https://results2021.ref.ac.uk/impact/fc883238-5a99-41c2-8add-44fba5562490,16,3,32,2,29,2
Improved long-term quality of life of patients with overactive bladder syndrome with Botulinum Toxin–A bladder injections,147695db-ad9b-4c7d-9594-acf23f127131,https://results2021.ref.ac.uk/impact/147695db-ad9b-4c7d-9594-acf23f127131,16,4,,,,
Safe administration of medicines to people with enteral tubes,2f0030ca-fab7-4063-acc1-e6b4f93cefb1,https://results2021.ref.ac.uk/impact/2f0030ca-fab7-4063-acc1-e6b4f93cefb1,16,3,11,3,6,2
Developing accurate diagnoses and new treatments of pulmonary arterial hypertension – a rare and fatal disease of young adults,965b3cef-41c1-4911-8977-f0c632e2ca31,https://results2021.ref.ac.uk/impact/965b3cef-41c1-4911-8977-f0c632e2ca31,16,3,9,3,6,3
Effective psychological therapy and prevention programmes for post-traumatic stress disorder (PTSD),e7c7267d-1e16-4858-a493-e0fe7e013bb3,https://results2021.ref.ac.uk/impact/e7c7267d-1e16-4858-a493-e0fe7e013bb3,16,3,32,3,37,2
Improving the timing and effectiveness of psychological treatment of post-traumatic stress disorder in youth,c2fca979-9d8b-4a87-8d27-7bf2d2ae92c7,https://results2021.ref.ac.uk/impact/c2fca979-9d8b-4a87-8d27-7bf2d2ae92c7,32,4,16,3,102,2
Development of a New Genetic Diagnostic Panel for the Cost-Effective Diagnosis of Life-Threatening Adrenal Insufficiency,3a8ff29e-a328-46e6-9fa8-3980adedfb53,https://results2021.ref.ac.uk/impact/3a8ff29e-a328-46e6-9fa8-3980adedfb53,16,3,17,3,31,2
Childhood leukaemia survival rates increase thanks to new cell preservation methods and international cell bank,5363f5e2-03ca-47d6-ae0f-e57718779f27,https://results2021.ref.ac.uk/impact/5363f5e2-03ca-47d6-ae0f-e57718779f27,16,3,30,3,3,3
Commercial development and patient benefit of Adoptive Cell Therapy (ACT) for cancer,7cf998ce-1250-4c0f-af39-05e62d0358da,https://results2021.ref.ac.uk/impact/7cf998ce-1250-4c0f-af39-05e62d0358da,16,3,6,3,3,3
Improving Quality of Life and Survival Rates of Acute Myeloid Leukaemia (AML) Patients with Innovative Molecularly Guided Therapy,53db92b6-88f9-4ab2-bd80-fdd8aa1db0ca,https://results2021.ref.ac.uk/impact/53db92b6-88f9-4ab2-bd80-fdd8aa1db0ca,16,4,3,3,,
"Improving the Management and Survival of Patients with Aggressive, Treatment-Resistant Cancers",4e2d01ab-961a-4497-89f9-b8bd34f9f806,https://results2021.ref.ac.uk/impact/4e2d01ab-961a-4497-89f9-b8bd34f9f806,16,4,3,3,6,2
Improving treatment and quality of life for patients with Myeloproliferative Neoplasms,f8800931-764b-46ee-bf0e-dd8069dab257,https://results2021.ref.ac.uk/impact/f8800931-764b-46ee-bf0e-dd8069dab257,16,4,9,3,,
"Next-generation programmed T cell therapies for cancer treatment: innovation, validation and development through the spin-out company, Autolus Ltd",69d590c1-6841-49e2-991a-efcd2a4aa352,https://results2021.ref.ac.uk/impact/69d590c1-6841-49e2-991a-efcd2a4aa352,16,4,3,3,6,2
Optimising treatment regimens for patients with acute myeloid leukaemia,6ed0e866-bd17-4401-8e0c-ac212efcecb8,https://results2021.ref.ac.uk/impact/6ed0e866-bd17-4401-8e0c-ac212efcecb8,16,4,3,3,6,2
The only RCT evidence on salvage autologous stem cell transplantation (sASCT) in relapse myeloma leads to worldwide guidelines and increased sASCT uptake,6dafab4f-e5f0-44d1-9a06-2d82275cd9f6,https://results2021.ref.ac.uk/impact/6dafab4f-e5f0-44d1-9a06-2d82275cd9f6,16,4,3,3,,
"Clinical development of immunotherapies in melanoma, renal, and head and neck cancers",5541c786-97ff-44e9-a3ac-cc4c2b2faf35,https://results2021.ref.ac.uk/impact/5541c786-97ff-44e9-a3ac-cc4c2b2faf35,16,3,3,3,29,2
Clinical development of lenvatinib provides new treatment options for advanced renal cell carcinoma and unresectable hepatocellular carcinoma patients worldwide,e976a26f-9250-415c-9dea-7f2c9ddf97c5,https://results2021.ref.ac.uk/impact/e976a26f-9250-415c-9dea-7f2c9ddf97c5,16,4,3,3,6,3
Genetic profiling establishes mTOR inhibitors as first line therapy for tuberous sclerosis-associated kidney disease,c0fcdb4c-68bc-480e-b256-118dfb180a1a,https://results2021.ref.ac.uk/impact/c0fcdb4c-68bc-480e-b256-118dfb180a1a,16,3,6,2,,
Delivering clinical and commercial impact through novel monoclonal antibody cancer treatments,8dfb8881-06d5-4a94-b60b-9613956fe5fc,https://results2021.ref.ac.uk/impact/8dfb8881-06d5-4a94-b60b-9613956fe5fc,16,4,6,3,3,3
Development of novel therapies for inborn errors of immunity in children and adults via a spin-out company and an NHS England commissioning policy,38cd548d-a708-4269-87eb-5c2938cfdc17,https://results2021.ref.ac.uk/impact/38cd548d-a708-4269-87eb-5c2938cfdc17,16,4,6,3,17,2
Access to more effective therapies for Non-Hodgkin Lymphoma,f6571138-0844-4a32-8992-127e12b3e422,https://results2021.ref.ac.uk/impact/f6571138-0844-4a32-8992-127e12b3e422,16,4,17,3,38,2
Transforming standards of care and treatments for lymphoid cancers,95b6e704-3b7c-4ca9-b670-48b2ba240063,https://results2021.ref.ac.uk/impact/95b6e704-3b7c-4ca9-b670-48b2ba240063,16,4,3,4,6,2
Improving the outcome of patients with vasculitis: reducing treatment toxicity and developing new treatments.,57157313-5823-4460-a45a-19c75a27db52,https://results2021.ref.ac.uk/impact/57157313-5823-4460-a45a-19c75a27db52,16,4,9,3,6,2
Biologic agents for plaque psoriasis and psoriatic arthritis: enabling patient benefit and efficient use of NHS resources,24911fa4-5b52-4f53-8313-346b24318e81,https://results2021.ref.ac.uk/impact/24911fa4-5b52-4f53-8313-346b24318e81,16,3,29,3,30,2
Secukinumab becomes the first interleukin-17A inhibitor approved for psoriatic arthritis,ec80728e-9b15-4abc-a399-7b5bcbd485ab,https://results2021.ref.ac.uk/impact/ec80728e-9b15-4abc-a399-7b5bcbd485ab,16,4,6,3,6,3
Developing innovative new drugs to prevent migraine,ee384d66-d9be-4246-a625-3f303cfb0c97,https://results2021.ref.ac.uk/impact/ee384d66-d9be-4246-a625-3f303cfb0c97,16,4,6,3,6,3
"Improving drug-induced remission in rheumatoid arthritis, and safely stopping the long-term use of drugs without disease flare",20fae694-ff2d-4717-baba-71e17d2c6edd,https://results2021.ref.ac.uk/impact/20fae694-ff2d-4717-baba-71e17d2c6edd,16,4,14,3,29,2
Advances in autoantibody detection lead to improved management of autoimmune rheumatic disease,fb5ed207-f4cb-4c88-b64e-6dcb8215fcb6,https://results2021.ref.ac.uk/impact/fb5ed207-f4cb-4c88-b64e-6dcb8215fcb6,16,4,30,2,,
Improving outcomes for people with rheumatoid arthritis by facilitating and optimising early treatment regimens,4ca4f785-3d93-457b-aedd-4cfe8254956f,https://results2021.ref.ac.uk/impact/4ca4f785-3d93-457b-aedd-4cfe8254956f,16,4,14,3,29,2
Co-design of medical devices and technologies with the ultimate users,6bc2c4f8-2fa5-4cf0-a880-c69fc3fbe996,https://results2021.ref.ac.uk/impact/6bc2c4f8-2fa5-4cf0-a880-c69fc3fbe996,16,4,30,3,104,2
Radical advance in treating age-related macular degeneration leading to global impact in prevention of blindness,97113965-67e9-4d07-960e-6d09d91cf2cc,https://results2021.ref.ac.uk/impact/97113965-67e9-4d07-960e-6d09d91cf2cc,16,4,10,4,38,3
Stratification of eye cancer patients into metastatic risk- and liver surveillance groups using the integrated Liverpool prognosticator tool,dd8c9e8c-924f-4ffd-8451-f89183f0245c,https://results2021.ref.ac.uk/impact/dd8c9e8c-924f-4ffd-8451-f89183f0245c,16,4,3,4,10,4
Global access to a sight-saving therapy for children with arthritis-associated uveitis,824beff0-98f6-46f4-a071-4b33fa24efc9,https://results2021.ref.ac.uk/impact/824beff0-98f6-46f4-a071-4b33fa24efc9,16,4,10,4,102,2
Targeted therapy in juvenile idiopathic arthritis-associated uveitis has reduced visual impairment and changed practice globally,86b29e22-3a55-4168-b1db-d164d7fd7380,https://results2021.ref.ac.uk/impact/86b29e22-3a55-4168-b1db-d164d7fd7380,16,4,10,4,102,2
Transforming national and international clinical practice in the treatment of resistant hypertension,d39db937-4d2d-468b-8204-ed787961b3aa,https://results2021.ref.ac.uk/impact/d39db937-4d2d-468b-8204-ed787961b3aa,16,4,9,3,,
Improving clinical care in people with the inflammatory skin condition hidradenitis suppurativa,22dd9f56-693f-44d2-acf9-d76deb2d4424,https://results2021.ref.ac.uk/impact/22dd9f56-693f-44d2-acf9-d76deb2d4424,16,4,,,,
Reducing harm: improved identification and clinical application of pressure ulcer risk factors leading to reductions in pressure ulcer development,2f19037c-80c9-4008-89a8-8a79f9981def,https://results2021.ref.ac.uk/impact/2f19037c-80c9-4008-89a8-8a79f9981def,16,3,21,2,,
Advancing technologies to maintain skin health and improve pressure ulcer prevention in vulnerable patients,21733bc5-7e0e-435c-b3b2-00d219f68105,https://results2021.ref.ac.uk/impact/21733bc5-7e0e-435c-b3b2-00d219f68105,16,4,37,3,6,3
Optimising outcomes for people with venous leg ulcers,1d278b74-0a27-4223-a396-f84cf0b26ee5,https://results2021.ref.ac.uk/impact/1d278b74-0a27-4223-a396-f84cf0b26ee5,16,4,21,,,
‘One-stop’ Diagnosis: Vastly Improved Prognosis for Behçet’s Syndrome,84dd9f99-be6b-4b8c-aeac-0ec32e7f2c93,https://results2021.ref.ac.uk/impact/84dd9f99-be6b-4b8c-aeac-0ec32e7f2c93,16,4,29,3,9,2
"Peptest, a quick and simple test for reflux",6a22fb73-4769-4210-9ebf-d50932ca494f,https://results2021.ref.ac.uk/impact/6a22fb73-4769-4210-9ebf-d50932ca494f,16,3,5,3,6,2
Lab4Living: design to promote quality of life and wellbeing,1026e101-ff0f-4a89-abee-3956650838c8,https://results2021.ref.ac.uk/impact/1026e101-ff0f-4a89-abee-3956650838c8,16,4,25,3,24,2
Reducing Chemotherapy-induced Hair Loss through Innovative Design: Internationally Increasing Patient Access & Wellbeing and Facilitating Rapid Commercial Growth,ee663064-1532-4f0d-b0d7-19b74826e690,https://results2021.ref.ac.uk/impact/ee663064-1532-4f0d-b0d7-19b74826e690,16,4,3,2,111,2
Prevention of Chemotherapy-Induced Hair Loss Through Scalp Cooling: Transforming Patient Wellbeing by Providing the Evidence Base for Worldwide Roll-Out,bea70b9a-4353-47f6-8aeb-a7a957a7d8aa,https://results2021.ref.ac.uk/impact/bea70b9a-4353-47f6-8aeb-a7a957a7d8aa,16,4,3,2,32,2
This is why we read: changing the understanding and use of critical literacy in primary education and beyond,7613ef9c-8272-4fb7-8f96-c28b5cfd2684,https://results2021.ref.ac.uk/impact/7613ef9c-8272-4fb7-8f96-c28b5cfd2684,97,4,102,2,,
Enhancing literacy and creativity amongst primary aged schoolchildren through a children’s literature and storytelling festival,454f290a-fde3-4e05-b3f1-56313ed8f305,https://results2021.ref.ac.uk/impact/454f290a-fde3-4e05-b3f1-56313ed8f305,97,4,102,3,,
"Enabling the Genarrator Generation: creating a more active, participatory role for modern readers",950e53bd-9bb3-4ccf-a424-2ebee28c8c03,https://results2021.ref.ac.uk/impact/950e53bd-9bb3-4ccf-a424-2ebee28c8c03,97,4,,,,
"Changing family literacy practices in prisons, schools and community settings",549478c8-66fc-4cce-b640-e937cdecf744,https://results2021.ref.ac.uk/impact/549478c8-66fc-4cce-b640-e937cdecf744,97,4,102,3,119,2
Challenging language discrimination and unlocking creativity,8115f58a-3d88-4edb-b247-db39e5b2f0e7,https://results2021.ref.ac.uk/impact/8115f58a-3d88-4edb-b247-db39e5b2f0e7,97,4,99,3,95,2
Supporting low-literate adult migrants and their teachers through novel digital learning platforms,f30e6c25-3290-489f-be01-06ed545c5799,https://results2021.ref.ac.uk/impact/f30e6c25-3290-489f-be01-06ed545c5799,97,4,133,3,95,3
Shaping the Delivery of Adult Literacy Education in Rwanda,c9ebb6d0-dd0b-4a99-ae9a-934ac4316cb7,https://results2021.ref.ac.uk/impact/c9ebb6d0-dd0b-4a99-ae9a-934ac4316cb7,97,4,99,2,,
Changing Classroom Practice for Literacy Through Improved Subject Knowledge,1351e21a-25ff-4d4c-baea-d1d4798baca9,https://results2021.ref.ac.uk/impact/1351e21a-25ff-4d4c-baea-d1d4798baca9,97,4,99,3,102,2
Changing professional understanding and pedagogical practice in the teaching of writing,d45eee59-538d-4ee8-a970-0b2e1f43e17d,https://results2021.ref.ac.uk/impact/d45eee59-538d-4ee8-a970-0b2e1f43e17d,97,4,99,3,102,2
Difficulties in Literacy Development,e23104c4-67ea-4a10-9827-d8b5e63492f0,https://results2021.ref.ac.uk/impact/e23104c4-67ea-4a10-9827-d8b5e63492f0,97,4,99,3,102,2
Enhancing children's reading comprehension by changing national and international policy and practice,a42eeb51-047a-45cc-a541-9839c147d661,https://results2021.ref.ac.uk/impact/a42eeb51-047a-45cc-a541-9839c147d661,97,4,99,3,102,2
"Improving children’s early years reading comprehension through policy, training and practice",5e07c251-d49a-4f87-ac9b-66f8e2d1afc1,https://results2021.ref.ac.uk/impact/5e07c251-d49a-4f87-ac9b-66f8e2d1afc1,97,4,99,3,102,2
"Improving Literacy Attainments for Young People Using Prosody, Morphology, and Phonology",3dd6ea86-bca9-412d-b5b4-79cdc4bddcc5,https://results2021.ref.ac.uk/impact/3dd6ea86-bca9-412d-b5b4-79cdc4bddcc5,97,4,99,3,,
Supporting Children with Learning Disability or Dyslexia to Continue Their Education in Japan,8841cf99-92ea-40c3-b157-db422da442d0,https://results2021.ref.ac.uk/impact/8841cf99-92ea-40c3-b157-db422da442d0,97,4,104,3,99,3
The Dyslexia Debate and its relevance for policy and practice,ec8aa4cc-30fa-4b4b-b803-f0084371cca1,https://results2021.ref.ac.uk/impact/ec8aa4cc-30fa-4b4b-b803-f0084371cca1,97,4,104,3,,
The impact of synthetic phonics on reading standards in English and Australian schools,e5a65ab6-2bd9-400b-bf71-62f9fec01d65,https://results2021.ref.ac.uk/impact/e5a65ab6-2bd9-400b-bf71-62f9fec01d65,97,4,99,3,,
Using the science of reading to change literacy policy and practice,fffe8ae7-a8db-4786-9e25-b020f856ab99,https://results2021.ref.ac.uk/impact/fffe8ae7-a8db-4786-9e25-b020f856ab99,97,4,104,2,,
Multilanguage Assessment Battery of Early Literacy (MABEL): A web-based resource for diagnosing literacy skills in various monolingual and bilingual settings,20a49ee1-35bf-4abe-b19b-973efa08d9d4,https://results2021.ref.ac.uk/impact/20a49ee1-35bf-4abe-b19b-973efa08d9d4,97,4,99,3,94,2
Changing teachers’ training and practice to incorporate self-referencing techniques that enhance children’s learning,2329aa71-e2a3-4408-adc6-28f83ebea8e8,https://results2021.ref.ac.uk/impact/2329aa71-e2a3-4408-adc6-28f83ebea8e8,97,4,99,3,102,2
Birmingham Stories: New ways of reading well in Birmingham and beyond,4cb8dfa2-49e5-4890-97e1-ed089ad5a4a9,https://results2021.ref.ac.uk/impact/4cb8dfa2-49e5-4890-97e1-ed089ad5a4a9,97,4,99,3,87,2
Is there a right way to learn to read? Embedding rhythmic activities into literacy tuition,af95d707-8931-46ee-94cf-c71126214475,https://results2021.ref.ac.uk/impact/af95d707-8931-46ee-94cf-c71126214475,97,4,99,3,,
Improving reading and challenging gender stereotypes in Scotland,ab8df6c7-4f32-49b4-9703-3b64f17598fa,https://results2021.ref.ac.uk/impact/ab8df6c7-4f32-49b4-9703-3b64f17598fa,97,4,129,4,,
Developing effective Reading for Pleasure practices in primary schools,f91a3dee-96ad-41d3-a7e9-988d368e08af,https://results2021.ref.ac.uk/impact/f91a3dee-96ad-41d3-a7e9-988d368e08af,97,4,99,3,102,3
Shaping government library policy in Scotland,590e6c42-4bea-4780-9a7c-aa62aeba7aed,https://results2021.ref.ac.uk/impact/590e6c42-4bea-4780-9a7c-aa62aeba7aed,97,4,113,3,,
Boosting Student Wellbeing: Positive Psychology Applications for Dyslexia and Mainstream Groups,dd8b958a-eb71-4bc5-8ae2-b9a3be9ce819,https://results2021.ref.ac.uk/impact/dd8b958a-eb71-4bc5-8ae2-b9a3be9ce819,97,4,32,3,104,2
The Audiobook Revolution: Changing Perceptions about Recorded Books,79006a73-9461-46e3-b04c-4943d9b7db83,https://results2021.ref.ac.uk/impact/79006a73-9461-46e3-b04c-4943d9b7db83,97,4,87,3,32,2
Transforming individual informal readers into communities of reader-researchers,c2a824f7-ccc1-4f26-995c-9e692d1bacdd,https://results2021.ref.ac.uk/impact/c2a824f7-ccc1-4f26-995c-9e692d1bacdd,97,4,85,4,100,2
Raising awareness of art writing through Tactile Writing Workshops,a6a2cbba-270e-41c1-875f-92cf3ddbdf57,https://results2021.ref.ac.uk/impact/a6a2cbba-270e-41c1-875f-92cf3ddbdf57,97,3,87,3,104,2
"Transforming library services in England by building resilient, innovative new delivery models",4bd740fc-a377-4ca2-9e35-781f024f50e1,https://results2021.ref.ac.uk/impact/4bd740fc-a377-4ca2-9e35-781f024f50e1,97,4,113,3,,
Reading on Screen: enhancing the benefits of reading through engaging with digital technologies,6cb7b9c5-688b-42a6-9f5a-17cd4a7020d0,https://results2021.ref.ac.uk/impact/6cb7b9c5-688b-42a6-9f5a-17cd4a7020d0,97,4,104,2,,
Wordtamer: using creativity to boost literacy,a73386f2-fbe1-43cc-959b-c424c1fa57eb,https://results2021.ref.ac.uk/impact/a73386f2-fbe1-43cc-959b-c424c1fa57eb,97,4,99,3,45,2
Living Libraries: Using oral histories of libraries in the United Kingdom to advocate for libraries and to shape practice,e4935aaa-f8d2-4013-9f9b-428b66222611,https://results2021.ref.ac.uk/impact/e4935aaa-f8d2-4013-9f9b-428b66222611,97,4,85,4,113,3
Transforming children’s digital literacy practices in formal and non-formal learning spaces,1ead3efd-b73a-4d5c-a2c4-6dd68c97afb7,https://results2021.ref.ac.uk/impact/1ead3efd-b73a-4d5c-a2c4-6dd68c97afb7,97,4,99,3,98,3
"The contribution of the Generalized Additive Models for Location, Scale and Shape (GAMLSS) to the environment and financial sector",2b064925-76a8-4810-8041-49580ad44b7d,https://results2021.ref.ac.uk/impact/2b064925-76a8-4810-8041-49580ad44b7d,107,3,70,2,71,2
The Ethics of Banking: Enhancing Professional Ethics in Banking and Professional Bodies in Financial Services,91e03646-edf6-4163-a59f-fa70dac32c99,https://results2021.ref.ac.uk/impact/91e03646-edf6-4163-a59f-fa70dac32c99,107,4,,,,
Embedding Understanding and Governing Climate-related Risks at the Bank of England,bca4064e-f843-4f66-9386-df5cb7aaaca3,https://results2021.ref.ac.uk/impact/bca4064e-f843-4f66-9386-df5cb7aaaca3,107,4,69,3,112,2
"Quantifying macroeconomic impact of stranded fossil-fuel assets for use by regulators, policy circles and class actions",f66bb634-0fcc-4980-b062-fb8e8577a37a,https://results2021.ref.ac.uk/impact/f66bb634-0fcc-4980-b062-fb8e8577a37a,107,4,69,4,124,2
"Enhancing the understanding and effectiveness of institutional investors’ engagement with Environmental, Social and Governance issues: New tools to assess how ESG engagement creates value",2dc8d3d4-a5ac-4dd4-bc5b-a972586f4c3d,https://results2021.ref.ac.uk/impact/2dc8d3d4-a5ac-4dd4-bc5b-a972586f4c3d,107,4,69,3,,
"xlinkit for fast, cheap, reliable and automated verification of over-the counter derivatives trading",d0a6b7e1-1494-41dd-93d2-34c4608123b2,https://results2021.ref.ac.uk/impact/d0a6b7e1-1494-41dd-93d2-34c4608123b2,107,4,45,4,,
Currency revolutions in Africa: creating an open access online resource,18c6f062-bcda-4137-9ed6-a63ef98ae933,https://results2021.ref.ac.uk/impact/18c6f062-bcda-4137-9ed6-a63ef98ae933,107,4,92,3,,
Influencing practice and policy in the growth of European microfinance,bb2f35b8-6f9c-4054-948b-1d00eb26e75a,https://results2021.ref.ac.uk/impact/bb2f35b8-6f9c-4054-948b-1d00eb26e75a,107,3,106,2,,
The European Code of Good Conduct for Microcredit Provision: expanding the scale of microfinance through improved sector self-governance,25f46404-871a-426b-960b-5843cde46367,https://results2021.ref.ac.uk/impact/25f46404-871a-426b-960b-5843cde46367,107,3,106,3,,
Informing Macroeconomic Policy Management in Sub-Saharan Africa,6ee7c29d-2239-4761-b6a9-512cb7648724,https://results2021.ref.ac.uk/impact/6ee7c29d-2239-4761-b6a9-512cb7648724,107,4,110,2,,
Impacting the Policy Process of International Organisations and Commodity-Dependent Countries,476e62c1-6673-4fbf-a73d-7c19ed419e53,https://results2021.ref.ac.uk/impact/476e62c1-6673-4fbf-a73d-7c19ed419e53,107,4,,,,
Enabling Underemployment and Post-Recession Monetary Policy,fac1afcc-0030-4b7c-92a6-92be4c156baf,https://results2021.ref.ac.uk/impact/fac1afcc-0030-4b7c-92a6-92be4c156baf,107,4,108,2,,
Long Term Investing,3b88b0be-a49f-443a-a8d2-1061db881d1c,https://results2021.ref.ac.uk/impact/3b88b0be-a49f-443a-a8d2-1061db881d1c,107,4,106,2,,
Enhancing the banknote security of five major currencies through the application of perception science in their design,48f0dd2d-824c-4f96-bd6b-af82527375f9,https://results2021.ref.ac.uk/impact/48f0dd2d-824c-4f96-bd6b-af82527375f9,107,3,40,2,119,2
