,All,Panel A,Panel B,UoA4,Panel C,Panel D
Cicely Saunders Foundation,0.01,0.03,,,,
Ineos Acrylics,0.01,,0.03,,,
Bristol City Council,0.01,,,,0.02,
Lucite International,0.01,,0.03,,,
The Tiny Lives Charity,0.01,0.03,,,,
Christensen Fund,0.01,,,,0.02,
The Academic Health Sciences Network North East and North Cumbria,0.01,0.03,,,,
The Tiny Lives Trust,0.01,0.03,,,,
ISS Facility Services,0.01,,,,0.02,
Avon Primary Care Research Collaborative,0.01,,,,0.02,
Gloucestershire County Council,0.01,,,,0.02,
(Catalyst Award),0.01,0.03,,,,
Department of Energy,0.01,,0.03,,,
Baxter Healthcare Corporation,0.01,0.03,,,,
East Durham Create s,0.01,,,,,0.04
Northern Gallery for Contemporary Art,0.01,,,,,0.04
Metal Peterborough,0.01,,,,,0.04
De Montfort University Gallery,0.01,,,,,0.04
Bayer AG,0.01,0.03,,,,
Berwick Arts Development,0.01,,,,,0.04
HERA,0.01,,,,,0.04
Ford,0.01,,0.03,,,
NHS R & D Programme (NCCHTA),0.01,0.03,,0.14,,
Zimplats Holdings,0.01,,0.03,,,
Mount Isa Mines,0.01,,0.03,,,
Newmont Exploration,0.01,,0.03,,,
Geita Gold Mine,0.01,,0.03,,,
Huntsman,0.01,,0.03,,,
Shenzhen Tencent Computer System,0.01,,0.03,,,
Enhanced Recovery After Surgery Society,0.01,0.03,,,,
Snowdonia National Park Authority,0.01,,,,,0.04
Creative Darlington,0.01,,,,,0.04
Laura and John Arnold Foundation,0.01,0.03,,,,
BNL,0.01,,0.03,,,
Royal National Institute of Blind Peopl e,0.01,0.03,,,,
Welsh Crucible,0.01,,,,0.02,
Leona M. and Harry B. Helmsley Charitable Trust,0.01,0.03,,,,
Abertawe Bro Morgannwg University Health Board,0.01,0.03,,,,
Wales Office of Research and Development for Health and Social Care,0.01,0.03,,,,
Technip Offshore Wind,0.01,,,,0.02,
Great Britain Wheelchair Basketball,0.01,,,,0.02,
Wales Office of Research and Development for Health and Social Care (WORD),0.01,0.03,,,,
The Association of Chartered Accountants,0.01,,,,0.02,
National Federation of Self Employed and Small Businesses Limited FSB,0.01,,,,0.02,
City of London  Corporation,0.01,,,,0.02,
Sandvik Tooling,0.01,,0.03,,,
Childbase Partnership,0.01,,,,0.02,
Society of Educational Studies,0.01,,,,0.02,
Wolves Community Trust,0.01,,,,0.02,
Wolverhampton City Primary Care Trust,0.01,,,,0.02,
Cliveden Conservation,0.01,,,,,0.04
Hospice in the Weald,0.01,0.03,,,,
National Museum of the Royal Navy,0.01,,,,,0.04
The Bell Foundation,0.01,,,,0.02,
Department of International Development,0.01,,,,0.02,
Ofcom,0.01,,,,,0.04
Blatchford,0.01,,,,0.02,
Highland Spring,0.01,,,,0.02,
CENSIS  Innovation Centre,0.01,,0.03,,,
Harry Ransom Fellowship,0.01,,,,,0.04
Voluntary Service Overseas,0.01,,,,0.02,
Swedish Red Cross,0.01,,,,0.02,
Handel Institute,0.01,,,,,0.04
"National Health Service, Blood & Transplant",0.01,,,,0.02,
Cape Hill Medical Centre,0.01,,,,0.02,
The Oaks Disaster 1866 Memorial Project,0.01,,,,0.02,
YIAA AHRC aligned fund,0.01,,,,0.02,
Higher Education Funding Council Wales,0.01,,0.03,,,
First Grant Scheme,0.01,,0.03,,,
Embedded CSE,0.01,,0.03,,,
Catholic Social Action Network,0.01,,,,0.02,
Bristol Care Homes,0.01,,,,0.02,
South Korean Global Research Fund,0.01,,,,0.02,
Scottish Institute of Policing Research,0.01,,,,0.02,
Sandwell Primary Care Trust,0.01,,,,0.02,
Coventry and Rugby Clinical Commissioning Group,0.01,,,,0.02,
Government of Bizkaia,0.01,,,,0.02,
Edinburgh Parallel Computing Centre,0.01,,0.03,,,
South London Partnership of Mental Health Trusts,0.01,0.03,,,,
Standard Life Foundation,0.01,,,,0.02,
Young Enterprise Scotland,0.01,,,,0.02,
The Money Advice Service,0.01,,,,0.02,
Young Enterprise and Young Money,0.01,,,,0.02,
Money and Pensions Service,0.01,,,,0.02,
Moors for the Future Partnership,0.01,,,,0.02,
National Research Foundation (South Africa),0.01,,,,0.02,
Royal Astronomical Society,0.01,,0.03,,,
Royal College of Speech and Language Therapists,0.01,0.03,,,,
Medicontur,0.01,0.03,,,,
Bausch and Lomb,0.01,0.03,,,,
IBM,0.01,,0.03,,,
Bern Cantonal Police,0.01,0.03,,0.14,,
National Police Chiefs Council,0.01,0.03,,0.14,,
Institute of Education Sciences,0.01,0.03,,0.14,,
Edinburgh and Lothian Health Foundation,0.01,0.03,,,,
ARC Medical,0.01,0.03,,,,
South African National Research Fund,0.01,,,,0.02,
The Royal & Ancient Golf Club of St Andrews,0.01,,,,0.02,
Enzo Life Sciences,0.01,,0.03,,,
Alexis Corporation,0.01,,0.03,,,
GW Pharma,0.01,0.03,,,,
"Innovate UK, IBM",0.01,,0.03,,,
British Society of Soil Science,0.01,,,,0.02,
Scottish Trades Union Congress,0.01,,,,0.02,
Ministry of Transport,0.01,,,,0.02,
The Chartered Institution of Highways and Transportation,0.01,,,,0.02,
Academy of Dental Sciences,0.01,0.03,,,,
Health Technology Assessment Programme,0.01,0.03,,,,
Imperial Cancer Research Fund,0.01,0.03,,,,
Consultative Committee of Accountancy Bodies,0.01,,,,0.02,
Cornell University,0.01,,0.03,,,
"Danish Agency for Science, Technology and Innovation",0.01,0.03,,,,
Barbour Foundation,0.01,0.03,,,,
University of Cape Town,0.01,,,,0.02,
Financial Services Consumer Panel,0.01,,,,0.02,
Make My Day Better,0.01,0.03,,,,
People's Postcode Lottery,0.01,,,,0.02,
Dresden State Art Collections,0.01,,,,,0.04
Fermi National Accelerator Laboratory,0.01,,0.03,,,
TRIUMF,0.01,,0.03,,,
Betsi Cadwaladr University Health Board,0.01,,,,,0.04
Hampshire Constabulary,0.01,,,,0.02,
Northern Ireland Housing Executive,0.01,,,,0.02,
INTAS,0.01,,0.03,,,
MacMillan Cancer Support,0.01,0.03,,,,
Solaris,0.01,,0.03,,,
National Cancer Research Institute,0.01,,0.03,,,
East Midlands Special Operations Unit,0.01,0.03,,,,
Beyond Borders,0.01,,,,,0.04
Foreign and Commonwealth Office,0.01,,,,,0.04
Petplan Charitable Trust,0.01,0.03,,,,
Pfizer  Animal Health,0.01,0.03,,,,
International Labour Organization,0.01,,,,0.02,
"Public Health Agency Research and Development, NI",0.01,,0.03,,,
United Nations Gender Theme Group,0.01,,,,0.02,
World Association of Girl Guides and Girl Scouts,0.01,,,,0.02,
Good Thinking Society,0.01,0.03,,,,
Oxford University Fell Fund,0.01,,,,0.02,
Harewelle International Ltd,0.01,,,,0.02,
Deregallera,0.01,,0.03,,,
Vision Care,0.01,0.03,,,,
Bausch & Lomb,0.01,0.03,,,,
Rayner Intraocular Lenses,0.01,0.03,,,,
Allergan Sales,0.01,0.03,,,,
Alcon Eyecare,0.01,0.03,,,,
Canadian Socian Science and History Research Council,0.01,,,,,0.04
German Federal Ministry for Economic Cooperation and Development,0.01,,,,0.02,
Association of Chief Police Officers Criminal Records Office,0.01,,,,0.02,
Swiss Cancer league through University of Basel and University Hospital Bern,0.01,0.03,,,,
EC Joint Research Centre,0.01,0.03,,,,
The Water Trust,0.01,,,,,0.04
Thames Tideway Tunnel,0.01,,,,0.02,
"Chief Scientist Office, Scotland",0.01,0.03,,,,
Council for British Archaeology,0.01,,,,0.02,
Ulster Scots Agency,0.01,,,,,0.04
AnyVision,0.01,,0.03,,,
Deutsche Gesellschaft für Internationale Zusammenarbeit,0.01,,,,0.02,
Brigstow Institute,0.01,,,,0.02,
Efamol,0.01,0.03,,,,
Panthera Foundation,0.01,0.03,,,,
AB Vista,0.01,,0.03,,,
Royal Commission for the Exhibition of 1851,0.01,,0.03,,,
Negaunee Foundation,0.01,,0.03,,,
EPA Cephalosporin Fund,0.01,,0.03,,,
"Ministry of Agriculture and Fisheries Wealth, Sultanate of Oman",0.01,0.03,,,,
International Council for Control of Iodine Deficiency Disorder,0.01,0.03,,,,
Royal College of Chiropractors,0.01,,0.03,,,
England and Wales Cricket Board,0.01,,,,0.02,
Northern Gas Network,0.01,,0.03,,,
Heritage Lottery Grant,0.01,,,,0.02,
Higher Committee for Education Development in Iraq,0.01,,,,0.02,
Brine Compensation Board,0.01,,,,0.02,
TETfund,0.01,,,,0.02,
Wellchild,0.01,0.03,,0.14,,
South West Forum,0.01,,,,0.02,
Hulme Community Garden Centre,0.01,,,,0.02,
Wales Probation Trust,0.01,,,,0.02,
Aneurin Bevan University Health Board,0.01,,0.03,,,
American Chemical Society,0.01,,0.03,,,
International Life Science Institute,0.01,0.03,,,,
Stanford University,0.01,,,,,0.04
Safefood Ireland,0.01,0.03,,,,
Sportscotland,0.01,,,,0.02,
SIS Foundation,0.01,,,,0.02,
The Children’s Foundation,0.01,0.03,,0.14,,
Castang Foundation,0.01,0.03,,0.14,,
Vattenfall,0.01,,,,0.02,
Sport Wales Institute,0.01,,,,0.02,
Knowledge Economy Skills Scholarships,0.01,,,,0.02,
Football Association of Wales Trust,0.01,,,,0.02,
National Library of Scotland Moving Image Archive,0.01,,,,,0.04
Kuwait Foundation for the Advancement of Sciences,0.01,,,,,0.04
John Fell Fund,0.01,,,,,0.04
Office of the Children’s Commissioner for Wales,0.01,,,,,0.04
International Telecommunication Union,0.01,,,,,0.04
Prince's Trust,0.01,,,,,0.04
Nominet Trust,0.01,,,,,0.04
International Astronomical Union,0.01,,0.03,,,
Empowerment Matters,0.01,,,,,0.04
Cumbria County History Trust,0.01,,,,,0.04
Scottish Parliament,0.01,,,,0.02,
Scotland and Northern Ireland Forum for Enviromental Research,0.01,,,,0.02,
EAGA Charitable Trust,0.01,,,,0.02,
Monohakobi Technology Institute,0.01,,0.03,,,
International Ocean Discovery Program,0.01,,0.03,,,
National Multiple Sclerosis Society,0.01,0.03,,,,
Humane Slaughter Association,0.01,0.03,,,,
European Nuclear Science and Application Research 2,0.01,,0.03,,,
Defense Threat Reduction Agency,0.01,,0.03,,,
Kromek,0.01,,0.03,,,
Innovation Partnership Scheme,0.01,,0.03,,,
Northern Ireland Judicial Appointments Commission,0.01,,,,0.02,
Institute of Amateur Cinematographers,0.01,,,,,0.04
ITF Seafarers’ Trust,0.01,,,,0.02,
Childrens Investment Fund Foundation,0.01,0.03,,,,
TMP,0.01,,0.03,,,
Health Innovation Challenge Fund,0.01,0.03,,,,
Tuberous Sclerosis Association,0.01,0.03,,,,
Association for International Cancer Research,0.01,0.03,,,,
National Institute of Diabetes and Digestive and Kidney Diseases,0.01,0.03,,,,
Women’s and Children’s Health Research Institute,0.01,0.03,,,,
European Food Standards Agency,0.01,,0.03,,,
Foster Findlay,0.01,,0.03,,,
Nottingham Rehab Supplies,0.01,,,,,0.04
Mayfields Life Skills Centre,0.01,,,,,0.04
Boost Foundation,0.01,,,,,0.04
Unielectronics,0.01,,0.03,,,
Leicestershire County Council,0.01,,,,,0.04
Food Safety Authority for Scotland,0.01,,0.03,,,
Air Force Office of Scientific Research,0.01,,0.03,,,
IUCN SSC Conservation Planning Specialist Group,0.01,,0.03,,,
Janssen Pharmaceutica NV,0.01,0.03,,,,
International Holocaust Remembrance Alliance,0.01,,,,0.02,
Wetlands International and DOB Ecology,0.01,,,,0.02,
Wetlands International and Oak Foundation,0.01,,,,0.02,
Copernicus,0.01,,,,0.02,
International Aids Society,0.01,0.03,,,,
Population Services International,0.01,0.03,,,,
The League against Cruel Sports,0.01,,,,0.02,
Pancosma SA,0.01,0.03,,,,
National Assembly for Wales,0.01,,,,0.02,
Association of British Insurers,0.01,,,,0.02,
London Marathon Charitable Trust,0.01,,,,0.02,
Archery GB,0.01,,,,0.02,
Aspire Trust,0.01,,,,0.02,
Climate Central,0.01,,,,0.02,
Streetgames,0.01,,,,0.02,
Welsh Rugby Union,0.01,,,,0.02,
Coca Cola Foundation,0.01,,,,0.02,
Committee for a Responsible Federal Budget (USA),0.01,,,,0.02,
UK Anti-Doping,0.01,,0.03,,,
University of Washington,0.01,,0.03,,,
Marine Stewardship Council,0.01,,0.03,,,
LT  / BA,0.01,,,,,0.04
Kainos Innovation,0.01,,0.03,,,
Thomas Swan,0.01,,0.03,,,
University of Chester,0.01,,0.03,,,
Backstage Trust,0.01,,,,0.02,
Light Up Lancaster,0.01,,0.03,,,
ALPRO Foundation,0.01,0.03,,,,
The Ourtree Charitable Trust,0.01,,,,,0.04
Academic Health Science Network for the North East and North Cumbria (AHSN),0.01,0.03,,0.14,,
Premiership Rugby,0.01,0.03,,,,
Department of Justice,0.01,,,,0.02,
Brain Tumour Charity,0.01,0.03,,,,
Mental Health Nurses Association,0.01,0.03,,,,
The Woodspring Trust,0.01,,,,0.02,
Philanthropic Funding,0.01,,0.03,,,
Nottingham Clinical Commissioning Group,0.01,,,,0.02,
Mid Nottinghamshire collaborative (NHS/Local Authorities) partnership,0.01,,,,0.02,
Stoke City Football Club,0.01,0.03,,,,
Impact International,0.01,0.03,,,,
Moulton Charitable Trust,0.01,0.03,,0.14,,
The Davies Group,0.01,0.03,,,,
GB Rowing,0.01,0.03,,,,
Nuffield Health,0.01,,,,0.02,
Hope Scott Trust,0.01,,,,,0.04
Nicholas Boas Charitable Trust,0.01,,,,,0.04
Russell Trust,0.01,,,,,0.04
Snape Maltings & Viola Tunnard Trust,0.01,,,,,0.04
Berkshire Healthcare Trust,0.01,0.03,,0.14,,
Healthway,0.01,0.03,,,,
US National Science Foundation,0.01,0.03,,0.14,,
United Kingdom Overseas Territories Association,0.01,,,,0.02,
OpenAI,0.01,,,,,0.04
British Institute at Ankara,0.01,,,,0.02,
Wainwright Fund,0.01,,,,0.02,
DeepMind,0.01,,,,,0.04
Culham Centre for Fusion Energy,0.01,,0.03,,,
"North West Regional Development Agency, European Regional Development Fund, Unilever, University of Liverpool",0.01,,0.03,,,
Sinopec,0.01,,0.03,,,
Saudi Basic Industries Corporation,0.01,,0.03,,,
Arterius,0.01,,0.03,,,
SABIC,0.01,,0.03,,,
Heritage Council,0.01,,,,0.02,
"Irish Research Council for Science, Engineering and Techonology",0.01,,0.03,,,
Ontario Centres of Excellence,0.01,0.03,,,,
Boeing United Kingdom,0.01,,,,,0.04
University Hospital Southampton,0.01,0.03,,,,
Mission de la Recherche,0.01,,,,0.02,
Home Group,0.01,,,,0.02,
Direct Line,0.01,,,,0.02,
Nationwide Foundation,0.01,,,,0.02,
L&Q,0.01,,,,0.02,
SOHA Housing,0.01,,,,0.02,
Network Homes,0.01,,,,0.02,
CDS Cooperatives,0.01,,,,0.02,
Metropolitan Thames Valley,0.01,,,,0.02,
Bolton at Home,0.01,,,,0.02,
Lambeth and Southwark Housing Association,0.01,,,,0.02,
Clarion Group,0.01,,,,0.02,
Orbit,0.01,,,,0.02,
Curo,0.01,,,,0.02,
Irish Environmental Protection Agency,0.01,,,,0.02,
Regenda Homes,0.01,,,,0.02,
Optivo,0.01,,,,0.02,
Synairgen,0.01,0.03,,,,
Intel Corporation,0.01,,0.03,,,
Research Capability Funding,0.01,0.03,,,,
Academic Health Sciences Network,0.01,0.03,,,,
Rufford Maurice Laing Foundation,0.01,,,,0.02,
Dog's Trust,0.01,0.03,,,,
Institute of Chartered Accountants,0.01,,,,0.02,
Intertrade Ireland,0.01,,,,0.02,
Arts Council of Northern Ireland,0.01,,,,,0.04
"Food Standards Agency, NI",0.01,,,,0.02,
Safefood,0.01,,,,0.02,
Cereal Partners Worldwide,0.01,0.03,,,,
UK New Dynamics of Ageing Research Programme,0.01,,,,0.02,
Canadian Institutes for Health Research,0.01,,,,0.02,
PRS for Music Foundation,0.01,,,,,0.04
British Council/Calouste Gulbenkian/Quercus Ensemble,0.01,,,,,0.04
Association of Project Management,0.01,,,,0.02,
Cricket Ireland,0.01,0.03,,,,
European Monitoring Centre for Drugs and Drug Addiction,0.01,0.03,,,,
The Alborada Trust,0.01,,,,0.02,
Cairns Charitable Trust,0.01,,,,0.02,
Shanghai Leading Academic Discipline,0.01,,0.03,,,
British Skin Foundation,0.01,,0.03,,,
Higher Education Authority of Ireland,0.01,0.03,,,,
Irish Rugby Football Union,0.01,0.03,,,,
Irish Amateur Boxing Association,0.01,0.03,,,,
Local Authorities of Liverpool City Region,0.01,0.03,,,,
Sheikh Mansoor Bin Zayed Al Nahyan Global Arabian Horse Flat Racing Festival,0.01,,,,0.02,
Mark McQueen Foundation Trust,0.01,0.03,,0.14,,
Bury Council,0.01,,,,0.02,
Racing Welfare UK,0.01,,,,0.02,
The Racing Foundation,0.01,,,,0.02,
BA of Management,0.01,,,,0.02,
University Forum for HRD,0.01,,,,0.02,
Merseyside Fire and Rescue Service,0.01,,0.03,,,
Department of Transport,0.01,0.03,,0.14,,
Emteq,0.01,0.03,,0.14,,
IMEC,0.01,,0.03,,,
James Place Charity,0.01,0.03,,0.14,,
The University of Tokyo,0.01,,,,,0.04
HEFCE,0.01,,,,,0.04
Liverpool John Moores University,0.01,,,,0.02,
Health Security Committee,0.01,,0.03,,,
Samaritans,0.01,,0.03,,,
University of Roche ster,0.01,0.03,,,,
Climate and Clean Air Coalition,0.01,,0.03,,,
Wirral Borough Council,0.01,0.03,,0.14,,
Royal Liverpool and Broadgreen University Hospital Trust,0.01,,,,0.02,
Marks and Spencer,0.01,0.03,,,,
Cosmetics Europe,0.01,0.03,,,,
Manchester United FC,0.01,,,,0.02,
National Alkaptonuria Centre,0.01,,,,0.02,
Fast Track to Innovation,0.01,,,,0.02,
Blackburn with Darwen Council,0.01,0.03,,,,
Public Health Wales,0.01,0.03,,,,
Monash Large Research Grant,0.01,,0.03,,,
MARDI,0.01,,0.03,,,
Ralph Brown Expedition Award,0.01,,0.03,,,
"Research, Innovation and Science Expert Group",0.01,,,,0.02,
Belgian Government,0.01,,,,,0.04
United Nations Universities,0.01,,,,,0.04
CEC Leonardo da Vinci,0.01,,0.03,,,
Alzheimer’s Association,0.01,,0.03,,,
Element Six,0.01,,0.03,,,
Pain Relief Foundation,0.01,0.03,,0.14,,
Health and Social Care Research and Development,0.01,0.03,,,,
Food and Agriculture Organisation,0.01,,,,,0.04
Stats Perform,0.01,,,,0.02,
Everton FC,0.01,,,,0.02,
Vinnova Sweden,0.01,,,,0.02,
US Fishing and Wildlife Services,0.01,,0.03,,,
Newlife Foundation,0.01,0.03,,,,
International Society of Transport Aircraft Trading Foundation,0.01,,0.03,,,
DSM Nutritional Products,0.01,0.03,,,,
John D. and Catherine T. MacArthur Foundation,0.01,,,,,0.04
Northern Ireland Chest Heart and Stroke Association,0.01,0.03,,,,
Nursing Homes Ireland,0.01,0.03,,,,
Orchard Therapeutics,0.01,0.03,,,,
Macmillan Cancer Northern Ireland,0.01,0.03,,,,
European Medicines Agency,0.01,0.03,,,,
Amway,0.01,0.03,,,,
National MPS Society,0.01,0.03,,,,
Abbeyfield Research Foundation,0.01,0.03,,,,
Ilika,0.01,,0.03,,,
Federal Ministry of Education and Research,0.01,,,,0.02,
BASF Beauty Care Solutions,0.01,0.03,,,,
Estee Lauder,0.01,0.03,,,,
Follicum AB,0.01,0.03,,,,
Elixir,0.01,0.03,,,,
Society for Mucopolysaccharide Diseases,0.01,0.03,,,,
"National Research, Development and Innovation Office of Hungary",0.01,0.03,,,,
Academic Health Science Network,0.01,0.03,,0.14,,
Hungarian Scientific Research Fund,0.01,0.03,,,,
FM Global,0.01,,0.03,,,
Jonah's Just Begun Foundation to Cure Sanfilippo,0.01,0.03,,,,
Great Ormond Street Children's Charity,0.01,0.03,,,,
Craft Council,0.01,,,,,0.04
Norwegian Ministry of Foreign Affairs,0.01,,,,0.02,
West of England Academic Health Science Network,0.01,0.03,,0.14,,
UK Foreign and Commonwealth Office,0.01,,,,0.02,
"UNAULA University, Medellin, Colombia",0.01,,,,0.02,
Istanbul Development Agency,0.01,,,,,0.04
North East Local Enterprise Partnership,0.01,,,,0.02,
Tony Elumelu Foundation,0.01,,,,0.02,
Sao Paulo Research Foundation,0.01,,,,0.02,
European Comission/ GEANT,0.01,,0.03,,,
Primary Care Musculoskeletal Research Consortium,0.01,0.03,,,,
Business Finland,0.01,,,,0.02,
Department of Science and Innovation,0.01,,,,0.02,
Minciencias Colombia,0.01,,,,0.02,
Royal Meteorological Society,0.01,,0.03,,,
Community of Metros,0.01,,0.03,,,
CEVA Animal Health,0.01,0.03,,,,
BHP Billiton,0.01,,0.03,,,
Lawn Tennis Association,0.01,,,,0.02,
Institute and Faculty of Actuaries,0.01,,0.03,,,
Department for Business Energy & Industrial Strategy,0.01,,0.03,,,
Ivanplats Proprietary,0.01,,0.03,,,
Zeiss,0.01,0.03,,,,
British Society for Immunology,0.01,0.03,,,,
The Urology Foundation,0.01,0.03,,,,
DyVOSE,0.01,,0.03,,,
DyCom,0.01,,0.03,,,
United Nations Population Fund,0.01,,,,0.02,
Belgian Science Foundation,0.01,,,,0.02,
SIPS grant,0.01,,0.03,,,
IHPC Singapore,0.01,,0.03,,,
Lonza,0.01,0.03,,,,
Scottish Infection Research Network,0.01,0.03,,,,
British Horse Racing Authority,0.01,,,,0.02,
Boeringer Ingelheim Vemedica GmbH,0.01,0.03,,,,
Cherry Marketing Institute,0.01,,,,0.02,
Medical Devices Technology International,0.01,,,,0.02,
Cherry Active,0.01,,,,0.02,
Cherry Research Committee,0.01,,,,0.02,
Dawes Trust,0.01,,,,0.02,
British Triathlon Federation,0.01,,,,0.02,
Commercial Sponsorship,0.01,,,,0.02,
Delsys,0.01,,,,0.02,
DJO Global Company,0.01,,,,0.02,
Podfo,0.01,,,,0.02,
Nova Group of Metros,0.01,,0.03,,,
Industrial Corporation,0.01,,0.03,,,
Norwegian Association of Heart and Lung Patients,0.01,0.03,,,,
British Triathlon,0.01,,,,0.02,
TrygFonden Organisation,0.01,0.03,,0.14,,
Ministry of Health and Social Welfare,0.01,0.03,,,,
American Bus Benchmarking Group,0.01,,0.03,,,
International Bus Benchmarking Group,0.01,,0.03,,,
Wakayama University,0.01,,,,0.02,
Oswaldo Cruz Foundation,0.01,,,,0.02,
WellChild,0.01,0.03,,,,
PUC Rio University,0.01,,,,0.02,
University of Trento,0.01,,,,0.02,
Tusk Trust,0.01,,,,0.02,
East of England Strategic Health Authority,0.01,0.03,,,,
Royal Institution of Chartered Surveyors Research Trust,0.01,,0.03,,,
Royal British Legion,0.01,0.03,,,,
PPP Healthcare Medical Trust,0.01,0.03,,0.14,,
Australian Centre for International Agricultural Research,0.01,,,,0.02,
African Parks Network,0.01,,,,0.02,
Prince of Wales Charitable Foundation,0.01,,,,0.02,
Global Partnership for Education,0.01,,,,0.02,
Skills Development Scotland,0.01,,,,0.02,
Royal College of Occupational Therapy,0.01,0.03,,,,
Logres Trust,0.01,0.03,,,,
European League Against Rheumatism,0.01,0.03,,,,
Council of Allied Health Professions in Research,0.01,0.03,,,,
Chartered Governance Institute,0.01,,,,0.02,
British Tinnitus Association,0.01,0.03,,0.14,,
Hampshire County Council,0.01,,,,0.02,
International Food Policy Research Institute,0.01,0.03,,,,
British Museum,0.01,,,,,0.04
City of Liverpool,0.01,,,,0.02,
Fortaleza City Council,0.01,,,,0.02,
Commissioner for Children and Young People Scotland,0.01,,,,0.02,
National Scientific and Technical Research Council,0.01,,,,0.02,
Internet Watch Foundation,0.01,,,,0.02,
Centre for Expertise on Child Sexual Abuse,0.01,,,,0.02,
National Holocaust Centre,0.01,,,,0.02,
Barnardo's,0.01,,,,0.02,
Electricity Supply Board Group,0.01,,,,,0.04
Royal Holloway University of London,0.01,0.03,,,,
Islington Council,0.01,,,,0.02,
RICS Research Trust,0.01,,,,0.02,
Sir Henry Angest Foundation,0.01,,,,,0.04
Relate studentship,0.01,,,,0.02,
KWS,0.01,0.03,,,,
Industrial Strategy Challenge Fund,0.01,0.03,,,,
Buehler AG,0.01,0.03,,,,
Google DeepMind,0.01,,,,,0.04
The Research Council of Norway,0.01,,,,,0.04
Progress Rail,0.01,,0.03,,,
Finnish Government Funding Agency for Technology and Innovation,0.01,,,,0.02,
Centre for Endocrinology,0.01,0.03,,,,
Diabetes and Research (Cedar) Charity,0.01,0.03,,,,
Driver and Vehicle Standards Agency,0.01,0.03,,0.14,,
Fire Service Research and Training Trust,0.01,0.03,,0.14,,
RAC Foundation,0.01,0.03,,0.14,,
Rosetree’s Trust,0.01,0.03,,,,
Chafea,0.01,0.03,,,,
Roche  Product,0.01,0.03,,,,
Clinical Practice Research Datalink,0.01,,0.03,,,
Schneider Electric,0.01,,0.03,,,
Invensys,0.01,,0.03,,,
Institute of Brewing and Distilling,0.01,0.03,,,,
Speyside Cooperage,0.01,0.03,,,,
Tatlock & Thomson,0.01,0.03,,,,
"Agence Nationale de la Recherche, Sciences Humaines et Sociales, France",0.01,,,,0.02,
National Health and Medical Research Council of Australia,0.01,,,,0.02,
The United Kingdom Acquired Brain Injury Forum,0.01,0.03,,0.14,,
Great Ormond Hospital Children’s Charity,0.01,0.03,,,,
Babcock International and Doosan Babcock,0.01,,0.03,,,
Royal Norwegian Embassy in Tanzania,0.01,,0.03,,,
EC DG Sante,0.01,0.03,,,,
The Daiwa Anglo-Japanese Foundation,0.01,0.03,,0.14,,
Epilepsy Research Foundation,0.01,0.03,,,,
Houblon-Norman Fund,0.01,,0.03,,,
Scottish University Insight Initiative,0.01,,0.03,,,
Flood Re,0.01,,,,0.02,
Movember Foundation,0.01,0.03,,,,
European Oncology Nursing Society,0.01,0.03,,,,
Macmillan Cancer,0.01,0.03,,,,
RSG Software GmbH,0.01,,,,0.02,
Aimia Coalition Loyalty UK,0.01,,,,0.02,
Howden Joinery,0.01,,,,0.02,
West Technology Forensics,0.01,,0.03,,,
Skretting,0.01,,0.03,,,
Mars WALTHAM & Aquasense,0.01,,0.03,,,
Benchmark Animal Health,0.01,,0.03,,,
Imperial College London,0.01,0.03,,,,
SPARKS,0.01,0.03,,,,
The Children's Commissioner for England,0.01,0.03,,0.14,,
The Disabilities Trust,0.01,0.03,,0.14,,
Mitie Energy,0.01,,,,0.02,
Bath Institute for Rheumatic Diseases,0.01,0.03,,,,
EUCO,0.01,0.03,,,,
Barrow Cadbury Trust (BCT),0.01,0.03,,0.14,,
National Board of Medical Examiners,0.01,,,,,0.04
Raynaud's and Scleroderma Association,0.01,0.03,,,,
HOSSO,0.01,,,,0.02,
Synergy Synthetic Surfaces,0.01,,,,0.02,
British Society of Animal Science,0.01,,,,0.02,
UCLan Workshop 2015,0.01,,,,0.02,
European Foundation for the Improvement of Living and Working Conditions,0.01,,,,0.02,
Equestrian Solutions,0.01,,,,0.02,
International Hoof Care Summit 2017,0.01,,,,0.02,
Proveto Conference 2016,0.01,,,,0.02,
Hevosalan Edistamisyhdistys Ry,0.01,,,,0.02,
Handmade Shoes Clinic 2016,0.01,,,,0.02,
Centuar Biomechanics 2020,0.01,,,,0.02,
Pearson Education,0.01,0.03,,0.14,,
European Association for the Study of the Liver,0.01,0.03,,,,
Carr Day Martin,0.01,,,,0.02,
Food Standards Agency Wales,0.01,,0.03,,,
Nuffield Trust,0.01,,,,0.02,
Big Health,0.01,0.03,,0.14,,
Arthritis Research Campaign (now Versus Arthritis ),0.01,0.03,,,,
US Naval Postgraduate School,0.01,0.03,,,,
US Naval Facilities Engineering,0.01,0.03,,,,
Macmillan Eduation,0.01,,,,0.02,
Technical University of Denmark,0.01,,0.03,,,
Dr Mortimer & Theresa Sackler Foundation,0.01,0.03,,0.14,,
King's College London,0.01,0.03,,0.14,,
Headley Trust,0.01,,,,,0.04
National Resources International,0.01,0.03,,,,
Myositis Support Group,0.01,0.03,,,,
Vungle,0.01,,,,0.02,
Amsted Rail,0.01,,0.03,,,
West Midlands Police,0.01,,0.03,,,
Tanita Eu,0.01,0.03,,,,
European Defence Fund,0.01,,0.03,,,
Bruce Power,0.01,,0.03,,,
